评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
9.3, 中国大陆, 龙平平,,413305, 张永新, 剧情 / 历史, The Age of Awakening, 汉语普通话, tt13972272,,觉醒年代, 于和伟 / 张桐 / 张晚意 / 马启越 / 马少骅 / 朱刚日尧 / 曹磊 / 夏德俊 / 周显欣 / 杨景天 / 杨杏 / 张思乐 / 毕彦君 / 武笑羽 / 卢易 / 高爽 / 牟星 / 张露 / 岳鹏飞 / 查文浩 / 唐旭 / 林俊毅 / 侯京健 / 何政军 / 刘琳 / 徐敏 / 尹铸胜 / 卫仑 / 沈琳珺 / 迟蓬 / 封新天 / 侯煜 / 谭洋 / 郑昊 / 舒耀瑄 / 朱泳腾
7.2, 中国大陆 / 中国香港, 兰晓龙 / 黄建新, 149分钟,235345, 徐克, 剧情 / 历史 / 战争, 水门桥 / 长津湖2 / 三炸水门桥 / 长津湖(下) / The Battle At Lake Changjin II / Watergate Bridge, 汉语普通话, tt16194408, 2022-02-01(中国大陆),长津湖之水门桥, 吴京 / 易烊千玺 / 朱亚文 / 李晨 / 韩东君 / 张涵予 / 耿乐 / 杜淳 / 段奕宏 / 胡军 / 王丽坤 / 杨一威 / 李卓扬 / 何跃飞 / 唐志强 / 刘治威 / 庄小龙 / 辛玉波 / 张跃 / 许明虎 / 王宁 / 王振威 / 陈泽轩 / 李小锋 / 詹姆斯·菲尔伯德 / 约翰·克鲁兹
7.5, 中国大陆, 杨薇薇 / 翟培 / 李鹏 / 范凯华 / 秦语谦 / 雷声, 112分钟,807149, 柯汶利, 剧情 / 悬疑 / 犯罪, 误杀瞒天记中国版 / Sheep Without a Shepherd / Visual, 汉语普通话 / 泰语, tt11210032, 2019-12-13(中国大陆) / 2020-07-20(中国大陆重映) / 2019-12-07(大规模点映),误杀, 肖央 / 谭卓 / 陈冲 / 姜皓文 / 秦沛 / 边天扬 / 许文姗 / 张熙然 / 施名帅 / 黄健玮 / 陈志朋
5.2, 中国大陆, 付丹迪 / 刘迟 / 蔚捷, 103分钟,38749, 黎志, 爱情, 一年之痒 / Lost and Found, 汉语普通话, tt18266996, 2021-12-31(中国大陆),以年为单位的恋爱, 毛晓彤 / 杨玏 / 孙千 / 张海宇 / 刘佳 / 傅首尔 / 包文婧 / 王彦霖 / 晏紫东 / 斯外戈 / 董思怡 / 丁冠森 / 薇薇 / 柯博伦
9.0, 中国大陆, 刘国庆 / 紫金陈,,728374, 陈奕甫, 剧情 / 悬疑 / 犯罪, 长夜难明 / The Long Night, 汉语普通话, tt11298328,,沉默的真相, 廖凡 / 白宇 / 谭卓 / 宁理 / 黄尧 / 赵阳 / 田小洁 / 王建国 / 吕晓霖 / 赵圆瑗 / 曹卫宇 / 陆思宇 / 牛超 / 何其炜 / 张垒 / 赵雷棋 / 陈维涵
5.5, 中国大陆, 韩寒, 128分钟,141517, 韩寒, 喜剧 / 动作 / 爱情, 年轻的故事 / Only Fools Rush In, 汉语普通话, tt14509614, 2022-02-01(中国大陆),四海, 刘昊然 / 刘浩存 / 沈腾 / 尹正 / 乔杉 / 周奇 / 张宥浩 / 冯绍峰 / 黄晓明 / 王彦霖 / 陈小春 / 吴彦姝 / 万梓良 / 赵子琪
6.5, 中国大陆, 俞白眉 / 张彦 / 李媛 / 何可可 / 徐峥 / 华玮琳 / 林炳宝, 156分钟,221461, 吴京 / 章子怡 / 徐峥 / 沈腾, 剧情," My Country, My Parents", 汉语普通话, tt15465312, 2021-09-30(中国大陆),我和我的父辈, 吴京 / 章子怡 / 徐峥 / 沈腾 / 吴磊 / 黄轩 / 袁近辉 / 任思诺 / 韩昊霖 / 宋佳 / 马丽 / 洪烈 / 张天爱 / 李光洁 / 海清 / 陈道明 / 彭昱畅 / 欧豪 / 贾冰 / 辣目洋子 / 艾伦 / 常远 / 余皑磊 / 魏晨 / 陶虹 / 倪虹洁 / 张雨绮 / 焦圣祥 / 樊雨洁 / 张建亚 / 张芝华 / 张国强 / 宁理 / 胡可 / 沙溢 / 马书良 / 曹可凡 / 万茜 / 祖峰 / 张艺谋 / 李雪健 / 张小斐 / 杜江 / 李乃文 / 耿乐 / 吴昊宸 / 白那日苏 / 江水 / 逯长恩 / 张恒瑞 / 阿楠 / 吴昱翰 / 周庆昀 / 王成思 / 宋阳 / 李海银 / 龚毅星
8.1, 中国大陆, 王海鸰 / 王大鸥 / 梁晓声,,125396, 李路, 剧情, A Lifelong Journey, 汉语普通话, tt17506764,,人世间, 雷佳音 / 辛柏青 / 宋佳 / 殷桃 / 陈道明 / 丁勇岱 / 萨日娜 / 成泰燊 / 隋俊波 / 张瑞涵 / 宋楚炎 / 王大奇 / 王阳 / 李建义 / 宋春丽 / 张凯丽 / 于震 / 冯雷 / 白志迪 / 黄小蕾 / 胡连馨 / 吴幸键 / 梁晓声 / 马少骅 / 徐百慧 / 韩昊霖 / 陆毅 / 胡静 / 房子斌 / 丁海峰 / 宫宏佳 / 孙之鸿 / 王艺禅 / 沈晓海 / 潘斌龙 / 苗驰 / 赵小锐 / 舒耀瑄 / 刘晓晔 / 徐小飒 / 徐松子 / 于越 / 李光复 / 苇青 / 卞涛 / 许文广 / 徐敏 / 王晴 / 张继波 / 洪浚嘉 / 方悦乔 / 可旭 / 李学政 / 白红标 / 姜寒 / 尹键 / 李大强 / 黄俊鹏 / 胡连华 / 任铭松 / 朱彬予 / 马凡丁 / 葛子铭 / 李卓钊 / 郭紫铭 / 李思博
7.9, 中国大陆, 龚格尔 / 严东旭 / 郭帆 / 叶俊策 / 杨治学 / 吴荑 / 叶濡畅 / 沈晶晶 / 刘慈欣, 125分钟 / 137分钟(重映版),1750358, 郭帆, 科幻 / 冒险 / 灾难,, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语, tt7605074, 2019-02-05(中国大陆) / 2020-11-26(中国大陆重映),流浪地球, 屈楚萧 / 吴京 / 李光洁 / 吴孟达 / 赵今麦 / 隋凯 / 屈菁菁 / 张亦驰 / 杨皓宇 / 阿尔卡基·沙罗格拉茨基 / 李虹辰 / 杨轶 / 姜志刚 / 张欢 / 雷佳音 / 宁浩 / 刘慈欣 / 郭京飞 / 王智 / 张子贤 / 路阳 / 张宁 / 张小北 / 饶晓志 / 陶珞依 / 吴晓亮 / 龚格尔 / 郭帆
9.2, 中国大陆, 高满堂 / 王三毛 / 杨筱艳 / 小倔 / 王磊 / 邱玉洁 / 列那,,384739, 孔笙 / 孙墨龙, 剧情, 闽宁镇 / Minning Town, 汉语普通话 / 西北方言, tt12788432,,山海情, 黄轩 / 张嘉益 / 闫妮 / 黄觉 / 姚晨 / 陶红 / 王凯 / 热依扎 / 黄尧 / 白宇帆 / 尤勇智 / 胡明 / 姜冠南 / 王莎莎 / 郭京飞 / 祖峰 / 白宇 / 郎月婷 / 邹元清 / 李金江 / 韩丹彤 / 谭希和 / 江奇霖 / 郭飞歌 / 柴碧云 / 冯晖 / 海玲 / 李晓川 / 尚铁龙 / 王子瑜 / 赵千紫 / 张优 / 顾海 / 杨旻咏 / 马波 / 张浩 / 焦鹏 / 吴优 / 杨厚垚 / 赵鸿 / 刘峰 / 延翔 / 刘红星 / 邵老五 / 田璐 / 肖军 / 吴金鑫 / 范帅琦 / 吕松浩 / 张柏然 / 余舒琪 / 马伯全 / 王锦国 / 刘瑶鹏 / 罗京民 / 杨欣茹 / 闫馨 / 杨晨可欣 / 聂思涵 / 刘恩佳 / 刘泽锐 / 艾米 / 陈尚均 / 郭唐维 / 梁家桐 / 宋崔启吴 / 徐钰涵 / 张璟如 / 李易祥 / 唐彩霞 / 董照
